age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,exam_score,exam_score_quantile,cluster,cluster_kmeans
21,Male,3.0,2.2,2.3,No,76.5,6.1,Poor,2,Master,Average,49.1,Low,3,3
17,Female,2.2,2.4,2.3,Yes,94.3,6.1,Poor,5,Bachelor,Average,62.7,Medium-Low,0,0
19,Male,1.9,0.7,0.0,No,81.7,5.8,Good,1,Master,Poor,51.5,Low,3,3
18,Female,0.6,3.1,3.0,No,79.9,5.2,Good,1,Bachelor,Good,18.4,Low,3,3
20,Female,6.6,3.2,2.1,No,86.5,9.3,Fair,5,Master,Average,100.0,High,2,2
24,Female,1.8,2.4,3.3,Yes,92.7,8.7,Fair,3,Bachelor,Good,53.3,Low,0,0
23,Male,3.2,3.8,2.3,No,100.0,5.1,Fair,3,Bachelor,Poor,76.1,Medium-High,3,3
19,Female,3.1,2.1,3.0,No,93.3,8.4,Good,4,Bachelor,Average,85.6,High,2,2
22,Male,4.0,3.2,2.3,Yes,96.6,6.0,Good,4,High School,Good,63.0,Medium-Low,0,0
24,Female,4.7,1.3,3.3,Yes,79.9,6.7,Good,1,Master,Good,73.6,Medium-High,0,0
24,Male,4.8,2.5,2.4,Yes,74.7,6.4,Good,6,High School,Good,76.2,Medium-High,0,0
24,Male,2.6,2.3,1.7,No,85.6,5.7,Fair,1,Bachelor,Good,45.5,Low,1,1
17,Female,3.2,2.8,4.3,No,86.1,7.7,Fair,4,High School,Average,58.6,Medium-Low,1,1
20,Male,3.9,2.1,2.8,No,74.2,6.7,Fair,5,Bachelor,Average,77.8,Medium-High,2,2
17,Male,3.1,2.3,2.4,Yes,83.2,5.9,Fair,4,High School,Good,61.5,Medium-Low,0,0
22,Female,5.9,3.5,0.4,No,89.0,4.9,Good,1,,Good,71.4,Medium-High,2,2
17,Female,4.2,2.0,0.4,No,88.6,5.4,Fair,2,Master,Good,93.9,High,2,2
18,Female,4.6,0.6,2.1,No,90.0,4.5,Poor,1,High School,Good,85.9,High,2,2
20,Female,4.5,4.6,2.0,No,87.9,6.5,Fair,2,Bachelor,Good,73.8,Medium-High,3,3
20,Female,5.3,4.2,1.1,Yes,79.9,5.1,Good,2,High School,Average,83.3,High,0,0
22,Male,3.8,0.9,2.0,Yes,79.9,6.2,Fair,1,,Good,79.7,Medium-High,0,0
23,Male,1.6,3.3,3.5,Yes,73.0,8.1,Good,6,High School,Good,47.1,Low,0,0
18,Male,4.1,1.9,2.6,No,100.0,7.9,Fair,6,Bachelor,Good,91.9,High,2,2
19,Female,2.5,2.8,0.5,Yes,85.1,6.5,Poor,0,,Poor,60.6,Medium-Low,0,0
17,Female,2.7,2.9,1.7,No,82.8,6.4,Fair,4,Master,Average,46.6,Low,3,3
21,Male,4.4,2.2,0.9,No,75.7,8.8,Good,6,High School,Poor,84.2,High,1,1
17,Male,5.4,1.6,1.4,No,100.0,7.1,Fair,3,High School,Average,95.5,High,2,2
24,Female,3.5,1.7,1.3,No,74.3,6.1,Good,1,High School,Good,73.5,Medium-High,1,1
17,Male,4.0,1.4,1.3,No,80.7,4.8,Fair,2,,Poor,75.9,Medium-High,3,3
19,Female,6.1,1.5,0.4,No,89.2,7.0,Poor,1,Bachelor,Average,100.0,High,2,2
17,Female,3.9,2.4,1.7,Yes,91.0,7.5,Good,4,Master,Average,74.2,Medium-High,0,0
18,Female,7.4,1.6,1.2,No,94.6,5.7,Fair,5,Bachelor,Good,100.0,High,2,2
18,Male,4.3,3.3,0.0,No,100.0,6.8,Fair,6,High School,Average,94.9,High,2,2
20,Female,0.9,4.3,4.1,No,90.1,6.1,Good,6,High School,Average,27.6,Low,3,3
22,Female,4.6,1.8,3.0,No,74.4,6.3,Fair,6,High School,Average,86.2,High,2,2
23,Female,4.1,2.8,1.4,No,82.4,3.5,Good,2,Master,Average,60.1,Medium-Low,3,3
21,Female,5.4,3.1,1.8,No,88.1,6.2,Poor,3,High School,Average,91.3,High,2,2
24,Female,4.5,3.1,0.5,No,100.0,7.7,Fair,3,Bachelor,Average,93.8,High,2,2
17,Female,3.3,2.6,3.7,No,71.0,5.7,Poor,6,High School,Good,61.6,Medium-Low,1,1
17,Male,1.7,3.4,3.9,Yes,97.0,6.6,Good,3,High School,Average,41.7,Low,0,0
19,Female,3.2,3.1,2.0,No,86.8,5.6,Fair,5,High School,Poor,74.5,Medium-High,3,3
22,Female,2.2,1.0,2.9,No,93.4,6.9,Good,6,,Good,63.7,Medium-Low,3,3
18,Male,2.6,3.5,2.0,No,84.0,6.2,Good,0,Bachelor,Average,39.6,Low,3,3
21,Female,4.4,3.6,0.3,No,76.6,5.4,Fair,2,High School,Good,87.5,High,1,1
20,Female,6.0,1.6,1.3,No,92.5,8.1,Fair,5,Bachelor,Average,100.0,High,2,2
18,Female,4.1,2.5,1.9,Yes,91.5,7.6,Fair,2,,Good,75.4,Medium-High,0,0
24,Male,1.7,3.3,1.3,No,94.7,5.8,Fair,6,Master,Good,61.5,Medium-Low,1,1
22,Male,4.2,2.2,1.6,No,84.9,7.1,Fair,5,High School,Good,73.3,Medium-High,1,1
24,Other,5.3,3.8,1.7,No,79.0,7.1,Good,6,Master,Average,96.3,High,2,2
23,Female,2.6,5.3,1.7,Yes,69.4,7.3,Good,5,Bachelor,Average,67.0,Medium-Low,0,0
20,Male,3.3,1.6,1.9,No,93.2,4.5,Good,6,Master,Average,70.1,Medium-Low,3,3
23,Female,3.5,0.8,0.6,No,89.2,7.7,Good,0,High School,Good,84.2,High,2,2
19,Female,2.3,2.9,1.0,No,75.3,5.8,Good,2,Bachelor,Good,48.9,Low,1,1
24,Female,4.5,3.4,0.4,No,79.6,6.1,Fair,5,High School,Poor,98.8,High,2,2
19,Female,3.3,2.2,2.9,Yes,80.3,9.7,Good,0,High School,Poor,76.1,Medium-High,0,0
17,Male,4.1,4.2,0.0,No,70.2,6.9,Good,1,High School,Average,80.4,Medium-High,1,1
23,Male,2.2,0.9,3.1,No,76.8,6.0,Fair,6,High School,Poor,64.1,Medium-Low,3,3
22,Male,2.8,3.3,3.3,No,73.7,3.9,Good,4,Master,Average,59.4,Medium-Low,1,1
24,Female,4.6,1.8,1.5,No,80.9,8.2,Fair,5,,Poor,94.2,High,2,2
21,Male,2.9,4.6,0.0,Yes,77.6,4.9,Good,3,Bachelor,Good,67.8,Medium-Low,0,0
20,Male,6.1,4.9,1.4,No,68.7,5.3,Good,0,Bachelor,Good,96.1,High,2,2
18,Male,2.9,1.6,1.7,No,100.0,6.1,Good,0,Bachelor,Good,70.2,Medium-Low,3,3
22,Female,3.8,1.8,0.7,No,97.5,8.2,Fair,5,Bachelor,Average,84.2,High,2,2
22,Female,4.9,3.5,1.2,No,77.2,7.4,Good,0,High School,Good,75.4,Medium-High,2,2
19,Male,1.4,2.0,3.5,No,87.7,6.3,Fair,1,Bachelor,Good,41.7,Low,3,3
23,Male,0.9,2.4,2.5,No,89.2,6.9,Fair,0,High School,Poor,23.1,Low,3,3
24,Female,1.2,2.5,0.8,Yes,96.9,5.8,Good,4,Master,Good,50.3,Low,0,0
24,Male,5.4,0.2,0.0,No,76.8,6.7,Fair,4,Bachelor,Average,100.0,High,2,2
17,Male,2.7,2.5,1.4,No,95.9,6.6,Good,6,Master,Average,52.2,Low,3,3
17,Male,7.3,1.7,1.6,No,79.5,7.7,Fair,6,,Average,100.0,High,2,2
20,Male,2.7,1.9,2.3,No,71.6,7.7,Fair,3,High School,Poor,71.2,Medium-High,3,3
19,Male,3.8,4.2,1.2,No,92.2,7.1,Good,1,High School,Good,72.3,Medium-High,3,3
22,Female,5.8,1.0,2.4,No,97.9,6.1,Fair,4,,Average,100.0,High,2,2
24,Male,6.5,3.5,3.9,No,100.0,7.4,Poor,5,High School,Average,100.0,High,2,2
21,Female,6.6,2.2,2.7,No,73.0,6.4,Good,2,Bachelor,Poor,100.0,High,2,2
19,Male,5.3,2.2,1.7,No,92.0,5.2,Fair,2,High School,Good,93.1,High,2,2
20,Female,5.0,3.4,1.6,Yes,80.9,6.0,Good,2,Bachelor,Average,67.7,Medium-Low,0,0
20,Female,4.4,2.9,1.4,No,92.8,6.6,Fair,6,Master,Good,77.9,Medium-High,1,1
19,Male,4.7,3.2,3.1,Yes,70.3,7.6,Fair,5,Bachelor,Good,80.3,Medium-High,0,0
20,Female,2.7,3.7,1.1,No,72.4,6.3,Fair,0,High School,Average,44.3,Low,3,3
19,Male,2.3,2.1,1.8,No,77.2,5.0,Fair,5,High School,Average,54.7,Low,3,3
18,Other,3.5,1.8,1.9,No,85.8,6.6,Fair,0,High School,Good,85.0,High,3,3
19,Male,3.2,1.2,1.2,No,78.6,6.6,Fair,2,High School,Poor,81.7,High,1,1
23,Male,2.8,1.5,0.3,No,91.6,6.7,Fair,3,Bachelor,Poor,71.6,Medium-High,3,3
19,Male,4.5,6.0,2.2,Yes,95.3,7.6,Poor,3,High School,Good,73.7,Medium-High,0,0
20,Other,4.9,4.0,1.7,No,91.0,7.7,Fair,0,Master,Average,77.0,Medium-High,2,2
24,Female,3.6,0.9,2.4,No,100.0,5.8,Poor,2,Bachelor,Average,72.3,Medium-High,2,2
23,Female,5.7,0.9,1.2,No,89.2,5.8,Poor,5,Bachelor,Average,100.0,High,2,2
20,Male,1.8,3.1,3.1,No,72.8,5.3,Good,3,High School,Average,54.0,Low,3,3
17,Female,3.2,3.2,0.8,No,98.6,7.3,Good,0,High School,Good,70.4,Medium-Low,3,3
17,Male,2.4,3.2,3.7,No,78.9,8.2,Good,5,Bachelor,Good,47.0,Low,1,1
24,Female,0.7,2.2,0.0,No,94.1,6.1,Fair,2,High School,Good,48.7,Low,3,3
24,Male,3.4,2.3,2.3,No,100.0,6.2,Good,1,High School,Good,47.6,Low,3,3
23,Male,3.3,2.9,2.3,Yes,89.6,8.3,Good,2,High School,Average,81.1,Medium-High,0,0
18,Male,5.8,2.6,0.9,Yes,70.0,7.1,Good,6,High School,Average,100.0,High,2,2
24,Male,4.4,0.0,2.3,No,75.8,7.0,Fair,2,Bachelor,Average,81.9,High,2,2
17,Female,2.0,2.2,3.2,No,98.2,5.1,Good,5,High School,Average,56.3,Low,3,3
19,Male,6.3,1.5,0.0,No,83.3,7.3,Good,5,Bachelor,Good,100.0,High,2,2
20,Female,5.3,2.7,2.4,Yes,85.8,5.4,Good,4,High School,Good,81.0,Medium-High,0,0
17,Male,4.4,6.1,0.0,No,92.6,5.1,Poor,4,Bachelor,Average,84.9,High,1,1
17,Female,3.2,2.9,0.7,No,92.0,6.1,Fair,5,Master,Poor,67.9,Medium-Low,3,3
18,Male,2.1,2.1,3.6,No,87.8,5.8,Fair,5,Master,Poor,56.9,Low,3,3
23,Male,2.9,3.6,1.2,No,82.9,6.2,Fair,1,High School,Average,45.9,Low,3,3
23,Female,5.1,3.1,0.5,Yes,81.9,4.8,Good,1,,Poor,76.0,Medium-High,0,0
22,Male,6.3,3.0,1.6,No,93.6,7.7,Poor,2,High School,Average,94.8,High,2,2
18,Male,5.8,3.2,4.1,No,90.5,7.9,Poor,6,Bachelor,Good,99.3,High,2,2
19,Female,2.8,5.0,0.0,Yes,82.4,4.2,Fair,3,Bachelor,Good,71.0,Medium-High,0,0
23,Female,1.8,1.1,0.6,Yes,95.8,7.7,Poor,6,Bachelor,Average,70.9,Medium-High,0,0
20,Male,3.7,3.1,3.4,Yes,83.7,5.5,Fair,1,High School,Average,59.8,Medium-Low,0,0
24,Male,0.8,1.4,3.8,Yes,76.5,7.5,Good,2,Bachelor,Average,36.0,Low,0,0
18,Female,4.0,3.2,1.7,No,77.4,6.4,Fair,6,High School,Good,68.4,Medium-Low,3,3
24,Male,3.3,1.4,0.4,No,75.2,6.5,Poor,0,Bachelor,Good,72.9,Medium-High,1,1
17,Male,2.8,2.0,4.1,Yes,82.3,6.3,Fair,4,High School,Good,57.3,Low,0,0
20,Male,1.1,2.1,3.6,Yes,97.3,8.0,Fair,6,Bachelor,Average,50.3,Low,0,0
20,Female,4.3,3.7,2.5,No,76.9,5.0,Poor,3,,Good,65.7,Medium-Low,3,3
17,Female,2.7,3.6,0.9,No,86.9,7.2,Good,2,High School,Poor,67.9,Medium-Low,1,1
18,Male,1.7,1.0,1.7,No,78.4,7.8,Good,6,Bachelor,Good,63.6,Medium-Low,3,3
17,Male,0.0,2.6,1.6,No,82.4,7.4,Good,5,High School,Average,32.9,Low,3,3
24,Male,3.5,1.6,2.2,No,69.9,9.3,Good,0,Bachelor,Average,67.7,Medium-Low,3,3
22,Female,6.2,1.0,3.4,No,82.8,5.9,Poor,4,Bachelor,Good,100.0,High,2,2
20,Male,6.0,2.2,2.8,Yes,83.1,7.6,Good,0,Bachelor,Average,96.8,High,0,0
21,Male,2.8,2.1,0.6,No,90.4,6.4,Good,2,High School,Poor,71.0,Medium-High,1,1
21,Female,2.6,5.4,3.3,No,87.2,8.0,Good,1,High School,Poor,59.8,Medium-Low,3,3
24,Male,4.2,3.0,2.1,No,73.0,6.5,Poor,4,Bachelor,Poor,64.2,Medium-Low,3,3
19,Female,2.0,0.8,2.6,No,95.8,6.0,Good,0,High School,Poor,45.2,Low,3,3
23,Male,4.0,1.8,3.4,No,87.1,8.1,Good,1,Bachelor,Poor,82.9,High,1,1
17,Male,4.6,3.7,0.6,No,87.0,5.9,Good,3,High School,Average,73.2,Medium-High,1,1
17,Male,5.3,5.0,1.8,No,84.9,4.8,Poor,2,High School,Average,79.6,Medium-High,2,2
19,Female,3.3,0.6,1.2,Yes,79.8,5.9,Good,2,High School,Good,73.0,Medium-High,0,0
19,Female,3.2,0.2,0.1,Yes,87.2,7.2,Good,4,,Average,72.6,Medium-High,0,0
24,Female,2.2,4.7,2.2,No,89.8,8.2,Good,0,High School,Poor,45.2,Low,3,3
24,Male,2.3,3.0,4.6,No,67.5,6.6,Fair,3,Bachelor,Average,51.8,Low,3,3
19,Female,3.2,1.5,0.0,No,79.6,8.1,Good,5,Bachelor,Good,92.0,High,2,2
20,Male,4.1,3.1,1.8,No,82.5,4.9,Fair,4,High School,Good,77.8,Medium-High,3,3
24,Male,4.9,0.0,2.5,Yes,87.6,6.0,Fair,5,Master,Average,97.2,High,2,2
22,Female,2.3,2.5,1.9,Yes,96.9,6.2,Fair,4,Bachelor,Good,71.9,Medium-High,0,0
24,Male,5.7,2.9,1.7,No,77.3,6.4,Good,0,Master,Good,69.1,Medium-Low,1,1
17,Male,3.1,3.6,0.4,No,80.0,6.6,Poor,3,Bachelor,Good,59.6,Medium-Low,1,1
24,Male,3.5,1.3,2.1,No,79.9,7.3,Fair,0,Bachelor,Good,60.4,Medium-Low,3,3
20,Male,2.4,2.6,1.0,No,77.0,6.0,Good,2,,Good,48.3,Low,1,1
19,Male,0.0,1.4,0.0,No,81.5,6.7,Good,5,High School,Good,50.1,Low,1,1
17,Female,4.8,2.8,3.1,No,92.7,6.4,Fair,1,,Good,74.9,Medium-High,2,2
24,Male,4.6,1.4,2.9,Yes,74.5,5.4,Good,6,Bachelor,Average,85.6,High,0,0
20,Female,3.1,2.0,1.9,No,89.3,6.4,Good,2,High School,Good,65.4,Medium-Low,1,1
22,Female,3.6,1.3,2.1,No,68.0,6.3,Poor,2,Bachelor,Good,82.4,High,1,1
24,Male,4.3,3.3,3.0,No,79.4,6.3,Fair,5,High School,Poor,67.3,Medium-Low,1,1
20,Male,1.2,3.5,2.0,No,81.7,6.5,Poor,4,Bachelor,Good,34.3,Low,3,3
22,Male,2.7,2.2,2.8,No,100.0,6.6,Fair,2,High School,Average,53.0,Low,3,3
19,Female,4.7,2.5,1.5,No,82.3,6.0,Fair,6,High School,Average,78.0,Medium-High,2,2
24,Male,1.6,0.8,3.2,Yes,63.0,8.0,Good,3,High School,Good,58.2,Low,0,0
22,Female,3.9,2.1,2.2,No,65.0,5.1,Good,2,High School,Average,73.7,Medium-High,3,3
17,Male,1.5,2.4,2.0,Yes,85.3,5.6,Poor,3,High School,Average,60.3,Medium-Low,0,0
19,Female,4.2,5.6,0.4,No,91.1,9.8,Poor,0,Bachelor,Poor,78.7,Medium-High,1,1
17,Male,3.4,1.2,2.1,Yes,88.8,5.3,Fair,4,,Average,68.3,Medium-Low,0,0
21,Male,1.1,4.3,0.9,No,86.7,4.9,Fair,3,High School,Average,49.9,Low,3,3
18,Female,5.2,3.7,1.1,No,96.6,7.4,Fair,2,Bachelor,Average,100.0,High,2,2
24,Female,2.4,2.8,0.9,No,79.6,4.0,Good,4,,Average,54.7,Low,1,1
22,Male,2.3,4.6,0.6,No,93.9,6.2,Good,6,Master,Good,58.7,Medium-Low,3,3
18,Female,3.8,2.9,4.1,Yes,68.7,9.1,Fair,4,Master,Good,70.8,Medium-High,0,0
18,Female,5.2,3.0,3.3,No,76.0,4.6,Good,3,,Poor,87.1,High,1,1
22,Female,2.0,2.4,3.9,No,66.9,4.1,Fair,3,High School,Good,29.5,Low,1,1
19,Female,3.6,4.0,0.5,No,82.3,4.7,Good,1,High School,Poor,53.2,Low,3,3
24,Male,4.1,3.8,1.9,Yes,84.5,7.6,Fair,1,Bachelor,Poor,73.0,Medium-High,0,0
21,Male,4.5,1.7,0.4,No,86.1,7.8,Poor,4,Bachelor,Poor,71.1,Medium-High,1,1
17,Male,3.8,0.9,1.0,No,85.6,5.9,Good,5,Bachelor,Good,80.9,Medium-High,2,2
20,Female,2.9,2.3,0.8,Yes,75.7,7.3,Fair,5,Bachelor,Good,75.1,Medium-High,0,0
17,Female,2.3,1.5,3.2,No,83.1,8.2,Good,1,High School,Average,52.4,Low,3,3
20,Male,3.6,2.4,1.4,No,70.0,8.6,Fair,2,Bachelor,Average,67.6,Medium-Low,3,3
17,Male,1.9,4.0,3.0,No,98.6,6.2,Poor,0,Bachelor,Average,35.7,Low,1,1
22,Female,0.0,2.0,2.5,No,82.0,3.7,Poor,4,Bachelor,Average,29.9,Low,3,3
21,Other,4.2,2.4,4.3,No,80.1,5.5,Fair,0,Master,Good,70.7,Medium-High,3,3
24,Female,4.9,2.6,0.2,No,100.0,6.0,Good,1,Bachelor,Average,89.3,High,2,2
20,Male,0.0,3.5,3.2,No,72.6,6.2,Fair,3,High School,Good,26.2,Low,3,3
24,Male,2.0,0.0,3.1,No,73.7,6.3,Good,6,High School,Average,58.3,Low,1,1
24,Male,4.4,1.8,0.7,No,74.0,7.8,Good,4,High School,Good,78.4,Medium-High,1,1
24,Female,6.6,2.8,2.9,No,84.3,8.0,Good,1,,Good,100.0,High,2,2
23,Male,3.5,3.9,2.2,No,89.3,6.3,Fair,2,Master,Average,66.8,Medium-Low,1,1
19,Female,2.4,1.9,1.5,No,92.4,7.8,Good,6,High School,Good,63.8,Medium-Low,3,3
17,Male,3.2,0.2,0.9,No,100.0,6.9,Fair,4,Bachelor,Good,76.1,Medium-High,2,2
24,Female,5.6,3.2,1.0,No,62.5,6.6,Fair,4,Bachelor,Average,82.7,High,2,2
17,Female,2.5,1.7,4.1,No,91.1,7.6,Poor,5,,Average,65.0,Medium-Low,3,3
24,Female,2.3,1.1,1.8,Yes,79.4,6.6,Fair,3,Master,Good,66.8,Medium-Low,0,0
20,Male,2.8,1.8,2.7,No,79.1,9.0,Poor,4,Master,Average,64.9,Medium-Low,1,1
19,Male,2.1,2.3,0.9,No,78.8,4.8,Good,3,Bachelor,Poor,63.1,Medium-Low,3,3
19,Male,3.7,1.8,0.9,Yes,75.9,5.9,Fair,1,High School,Average,56.3,Low,0,0
22,Female,5.9,0.0,3.0,No,100.0,6.3,Fair,2,High School,Good,93.6,High,2,2
23,Female,4.0,3.6,0.3,No,93.4,7.0,Good,6,High School,Good,91.9,High,2,2
22,Female,3.1,4.0,1.3,No,85.2,8.0,Fair,6,High School,Good,74.0,Medium-High,1,1
22,Female,3.1,3.3,1.8,No,98.5,6.5,Fair,2,Bachelor,Average,62.7,Medium-Low,3,3
22,Female,1.2,1.1,1.9,No,69.9,4.8,Poor,4,Master,Poor,58.6,Medium-Low,3,3
22,Male,4.8,2.3,1.6,Yes,71.7,7.5,Good,4,Bachelor,Good,89.3,High,0,0
22,Female,3.4,2.5,2.2,No,63.2,7.4,Poor,1,Master,Good,63.4,Medium-Low,3,3
21,Male,3.2,3.2,2.6,Yes,78.0,4.2,Fair,5,Bachelor,Poor,46.7,Low,0,0
19,Male,8.3,3.3,2.6,Yes,86.6,6.5,Fair,5,High School,Average,100.0,High,2,2
22,Female,3.9,1.6,0.7,Yes,86.0,4.6,Good,5,Master,Poor,68.7,Medium-Low,0,0
24,Male,2.4,2.6,1.5,No,86.5,5.7,Good,3,High School,Good,58.9,Medium-Low,3,3
19,Male,2.9,3.0,3.1,No,70.9,5.4,Good,5,Master,Good,59.0,Medium-Low,3,3
19,Female,5.2,4.2,2.8,Yes,93.0,7.5,Poor,2,High School,Good,77.9,Medium-High,0,0
18,Male,3.7,3.3,0.3,Yes,87.4,6.6,Fair,6,High School,Good,72.3,Medium-High,0,0
21,Female,1.3,3.4,2.2,No,92.3,5.0,Fair,6,Master,Poor,49.7,Low,3,3
22,Male,4.9,2.6,0.0,Yes,66.1,7.6,Poor,3,Bachelor,Good,80.9,Medium-High,0,0
17,Male,2.5,4.2,1.9,Yes,88.1,4.8,Fair,1,Master,Good,44.5,Low,0,0
20,Male,6.3,3.0,3.9,Yes,73.1,6.9,Fair,2,Master,Average,85.3,High,0,0
23,Male,5.1,1.5,0.8,No,81.0,5.5,Fair,6,,Good,83.2,High,2,2
24,Female,2.8,4.2,0.9,No,90.3,6.1,Good,2,Bachelor,Average,59.7,Medium-Low,3,3
17,Male,5.4,3.3,2.6,No,85.9,7.1,Fair,6,High School,Good,98.1,High,2,2
21,Female,3.6,2.0,0.1,No,76.5,7.1,Good,0,Bachelor,Good,66.8,Medium-Low,1,1
20,Male,4.8,1.9,1.1,No,85.1,8.1,Fair,1,Bachelor,Good,96.1,High,2,2
21,Female,4.2,2.9,2.5,No,69.7,6.4,Fair,1,High School,Good,60.4,Medium-Low,3,3
24,Female,2.2,3.1,1.1,No,96.5,6.9,Fair,0,Bachelor,Poor,33.8,Low,3,3
19,Female,2.5,2.7,1.5,No,82.9,6.0,Poor,3,Bachelor,Average,56.1,Low,3,3
20,Male,5.0,2.9,2.6,No,96.2,6.7,Poor,6,High School,Average,80.6,Medium-High,2,2
19,Male,3.0,4.5,2.3,Yes,79.7,7.0,Fair,6,Bachelor,Good,52.6,Low,0,0
24,Male,2.9,3.8,2.1,No,79.8,6.4,Good,6,Bachelor,Good,52.1,Low,1,1
17,Female,2.1,2.7,1.4,No,77.4,4.3,Good,5,Master,Good,39.9,Low,1,1
24,Male,4.1,3.6,2.2,No,93.8,6.9,Poor,5,High School,Poor,84.0,High,2,2
17,Female,6.6,1.3,1.7,No,77.9,6.9,Good,5,High School,Good,97.7,High,2,2
20,Female,1.9,3.0,2.3,No,91.4,5.7,Good,5,Bachelor,Good,43.3,Low,3,3
20,Male,3.5,4.7,1.3,Yes,81.2,5.0,Good,5,,Good,55.9,Low,0,0
22,Female,5.6,2.2,1.6,No,65.2,8.3,Good,0,Master,Poor,84.6,High,2,2
21,Male,3.4,1.5,0.7,No,79.3,7.1,Fair,1,,Poor,67.0,Medium-Low,3,3
22,Male,4.2,1.7,1.8,No,73.2,6.2,Fair,3,Bachelor,Poor,76.0,Medium-High,3,3
21,Female,1.9,1.2,0.9,No,85.3,5.1,Fair,2,Bachelor,Good,56.9,Low,1,1
22,Female,4.1,1.6,0.6,No,73.1,5.5,Fair,5,High School,Good,77.5,Medium-High,2,2
19,Female,3.2,2.1,2.1,No,94.3,8.1,Fair,0,,Good,69.4,Medium-Low,3,3
20,Male,5.0,0.8,2.0,No,84.1,6.7,Fair,6,Bachelor,Average,94.6,High,2,2
17,Male,5.3,2.5,2.7,Yes,83.2,5.8,Good,3,Bachelor,Average,93.4,High,0,0
21,Female,7.4,3.6,1.3,No,91.6,7.1,Good,3,High School,Good,100.0,High,2,2
24,Female,4.4,1.4,2.2,No,94.6,5.5,Good,3,Master,Good,63.6,Medium-Low,1,1
21,Female,4.0,4.3,2.4,No,84.8,8.3,Good,0,High School,Good,53.0,Low,3,3
17,Male,3.8,3.1,2.3,No,77.3,8.1,Good,2,High School,Good,67.8,Medium-Low,3,3
22,Female,3.0,3.7,0.9,No,67.3,5.9,Poor,5,Bachelor,Average,73.9,Medium-High,3,3
21,Male,4.0,1.7,2.0,No,78.1,5.7,Fair,3,High School,Good,66.5,Medium-Low,3,3
23,Male,3.1,3.5,2.2,No,78.8,3.4,Fair,0,Master,Good,49.9,Low,3,3
19,Female,3.8,1.2,1.8,No,86.1,4.7,Good,6,High School,Average,73.9,Medium-High,2,2
20,Male,5.5,3.6,0.0,No,81.5,4.9,Fair,1,,Average,80.3,Medium-High,2,2
17,Female,2.0,2.7,2.0,No,91.9,6.7,Good,6,High School,Average,71.7,Medium-High,3,3
20,Male,5.2,3.2,4.2,Yes,78.9,6.1,Poor,0,Bachelor,Poor,83.3,High,0,0
23,Male,5.5,1.1,1.4,No,84.4,4.9,Fair,0,Bachelor,Good,84.5,High,2,2
21,Female,3.3,1.4,1.0,No,96.8,6.2,Good,0,Bachelor,Poor,74.9,Medium-High,3,3
21,Female,0.3,3.2,2.2,No,88.4,7.1,Poor,3,,Average,34.0,Low,1,1
24,Female,2.6,1.4,2.1,Yes,84.4,7.1,Fair,0,High School,Average,63.0,Medium-Low,0,0
23,Female,5.4,3.1,3.1,No,79.0,4.2,Fair,1,Bachelor,Good,77.9,Medium-High,2,2
17,Female,3.5,0.9,0.4,No,78.7,6.3,Fair,3,,Average,72.9,Medium-High,1,1
24,Female,2.0,3.5,2.6,No,76.5,4.8,Good,6,Master,Good,53.2,Low,3,3
19,Female,2.7,1.0,2.4,No,79.6,7.6,Fair,1,,Poor,57.3,Low,3,3
24,Male,4.8,3.2,1.6,No,92.6,7.4,Fair,4,Bachelor,Poor,76.6,Medium-High,1,1
18,Female,4.3,3.3,2.2,No,82.8,5.4,Poor,6,High School,Average,64.6,Medium-Low,3,3
17,Male,3.1,1.7,2.9,Yes,71.5,5.6,Good,0,Bachelor,Average,51.1,Low,0,0
18,Other,2.9,3.2,2.8,No,100.0,5.9,Fair,5,High School,Average,63.0,Medium-Low,3,3
23,Female,2.9,2.8,0.5,No,88.2,3.8,Good,5,,Poor,61.6,Medium-Low,1,1
22,Male,2.1,1.9,2.7,Yes,70.9,6.9,Good,3,High School,Good,62.5,Medium-Low,0,0
18,Female,5.9,1.3,1.7,No,80.6,6.2,Fair,5,High School,Good,87.1,High,2,2
19,Female,3.0,0.1,1.9,No,86.1,7.7,Good,6,High School,Poor,82.5,High,1,1
24,Male,5.3,2.9,1.9,No,100.0,5.2,Good,3,Bachelor,Poor,80.9,Medium-High,1,1
22,Female,5.8,0.6,1.6,No,73.9,5.8,Fair,6,Bachelor,Good,100.0,High,2,2
24,Female,5.0,2.6,3.1,No,94.8,4.7,Poor,0,Bachelor,Good,79.6,Medium-High,2,2
18,Male,2.9,2.2,1.7,Yes,99.0,5.3,Good,2,Bachelor,Average,71.2,Medium-High,0,0
24,Female,4.1,3.3,0.6,Yes,78.7,5.1,Good,2,Bachelor,Good,62.7,Medium-Low,0,0
23,Male,3.5,2.1,1.4,No,82.2,7.7,Fair,1,High School,Good,64.2,Medium-Low,3,3
22,Female,2.1,2.1,2.0,No,74.6,5.7,Fair,0,High School,Good,44.1,Low,1,1
23,Other,4.0,3.4,3.2,No,83.0,6.6,Good,5,High School,Average,61.7,Medium-Low,3,3
18,Female,1.7,2.9,2.5,No,84.6,6.0,Good,0,Bachelor,Average,39.9,Low,1,1
23,Male,5.3,2.9,0.9,No,91.6,5.0,Good,4,High School,Poor,84.1,High,2,2
