study_hours_per_day,exercise_frequency,sleep_hours,attendance_percentage,extracurricular_participation_encoded,exam_score,exam_score_quantile
5.0,6,6.7,84.1,1,94.6,Q4_High
5.3,3,5.8,83.2,1,93.4,Q4_High
7.4,3,7.1,91.6,1,100.0,Q4_High
4.4,3,5.5,94.6,1,63.6,Q2_Medium_Low
4.0,0,8.3,84.8,0,53.0,Q1_Low
3.8,2,8.1,77.3,0,67.8,Q2_Medium_Low
3.0,5,5.9,67.3,0,73.9,Q3_Medium_High
4.0,3,5.7,78.1,0,66.5,Q2_Medium_Low
3.1,0,3.4,78.8,0,49.9,Q1_Low
3.8,6,4.7,86.1,0,73.9,Q3_Medium_High
5.5,1,4.9,81.5,0,80.3,Q3_Medium_High
2.0,6,6.7,91.9,0,71.7,Q3_Medium_High
5.2,0,6.1,78.9,0,83.3,Q4_High
5.5,0,4.9,84.4,0,84.5,Q4_High
3.3,0,6.2,96.8,0,74.9,Q3_Medium_High
0.3,3,7.1,88.4,1,34.0,Q1_Low
2.6,0,7.1,84.4,0,63.0,Q2_Medium_Low
5.4,1,4.2,79.0,0,77.9,Q3_Medium_High
3.5,3,6.3,78.7,1,72.9,Q3_Medium_High
2.0,6,4.8,76.5,0,53.2,Q1_Low
2.7,1,7.6,79.6,0,57.3,Q1_Low
4.8,4,7.4,92.6,1,76.6,Q3_Medium_High
4.3,6,5.4,82.8,0,64.6,Q2_Medium_Low
3.1,0,5.6,71.5,1,51.1,Q1_Low
2.9,5,5.9,100.0,0,63.0,Q2_Medium_Low
2.9,5,3.8,88.2,1,61.6,Q2_Medium_Low
2.1,3,6.9,70.9,0,62.5,Q2_Medium_Low
5.9,5,6.2,80.6,1,87.1,Q4_High
3.0,6,7.7,86.1,1,82.5,Q4_High
5.3,3,5.2,100.0,1,80.9,Q3_Medium_High
5.8,6,5.8,73.9,0,100.0,Q4_High
5.0,0,4.7,94.8,0,79.6,Q3_Medium_High
2.9,2,5.3,99.0,0,71.2,Q3_Medium_High
4.1,2,5.1,78.7,0,62.7,Q2_Medium_Low
3.5,1,7.7,82.2,0,64.2,Q2_Medium_Low
2.1,0,5.7,74.6,1,44.1,Q1_Low
4.0,5,6.6,83.0,0,61.7,Q2_Medium_Low
1.7,0,6.0,84.6,1,39.9,Q1_Low
5.3,4,5.0,91.6,0,84.1,Q4_High
2.8,2,6.3,95.9,0,40.7,Q1_Low
3.8,5,7.2,77.5,0,81.8,Q4_High
3.9,6,5.1,65.3,1,77.0,Q3_Medium_High
3.1,6,7.5,84.8,0,65.7,Q2_Medium_Low
4.4,2,5.5,87.9,1,80.9,Q3_Medium_High
2.8,0,5.9,87.5,1,47.4,Q1_Low
4.8,5,7.1,81.7,1,83.0,Q4_High
1.5,1,5.7,86.2,0,54.2,Q1_Low
3.7,6,6.5,100.0,0,82.5,Q4_High
6.4,0,6.1,88.8,0,85.0,Q4_High
2.0,1,6.7,81.3,1,40.4,Q1_Low
2.5,5,3.6,80.0,0,58.9,Q2_Medium_Low
4.3,2,4.3,83.3,0,67.5,Q2_Medium_Low
3.8,4,7.2,100.0,1,81.0,Q3_Medium_High
4.0,3,7.7,83.2,1,74.7,Q3_Medium_High
4.2,2,5.4,84.8,0,67.4,Q2_Medium_Low
4.5,1,6.2,80.2,0,72.2,Q3_Medium_High
5.2,0,6.9,96.0,0,77.1,Q3_Medium_High
4.1,6,7.3,100.0,0,87.9,Q4_High
3.1,5,4.1,89.5,1,54.1,Q1_Low
4.5,2,5.4,85.8,1,62.9,Q2_Medium_Low
6.3,6,6.1,85.4,0,95.6,Q4_High
3.3,6,7.3,61.2,0,67.1,Q2_Medium_Low
2.0,4,9.5,92.5,0,51.5,Q1_Low
5.2,5,6.2,86.3,0,97.9,Q4_High
3.3,1,4.8,89.3,0,67.0,Q2_Medium_Low
0.2,5,7.0,77.9,1,31.5,Q1_Low
4.8,5,8.1,81.2,0,88.0,Q4_High
2.7,0,6.6,80.9,0,53.4,Q1_Low
3.4,3,5.4,95.2,1,83.4,Q4_High
4.0,6,7.6,81.2,0,79.0,Q3_Medium_High
3.8,1,7.3,100.0,1,69.9,Q2_Medium_Low
4.6,0,5.3,89.3,1,60.1,Q2_Medium_Low
2.8,6,7.0,72.2,0,70.3,Q2_Medium_Low
4.3,3,7.7,83.7,0,79.8,Q3_Medium_High
3.1,0,7.9,78.5,1,66.6,Q2_Medium_Low
4.6,3,6.4,63.1,0,91.7,Q4_High
4.4,3,6.1,100.0,0,70.1,Q2_Medium_Low
2.1,3,8.0,92.0,0,61.5,Q2_Medium_Low
5.1,0,5.0,90.3,0,79.3,Q3_Medium_High
2.7,5,7.0,86.7,1,63.9,Q2_Medium_Low
4.7,3,4.9,71.2,1,93.1,Q4_High
4.1,5,7.8,80.2,1,89.8,Q4_High
6.3,6,6.2,93.4,1,100.0,Q4_High
3.2,6,8.0,74.5,1,61.8,Q2_Medium_Low
3.0,1,7.1,59.7,1,51.5,Q1_Low
3.5,4,5.0,82.7,0,60.4,Q2_Medium_Low
3.0,5,8.2,83.6,0,67.2,Q2_Medium_Low
4.7,6,8.4,86.4,0,89.6,Q4_High
1.1,4,7.6,92.3,1,48.3,Q1_Low
1.9,3,5.6,91.4,0,61.7,Q2_Medium_Low
1.9,4,6.1,87.6,1,44.4,Q1_Low
4.9,4,6.7,97.0,0,77.2,Q3_Medium_High
6.1,3,5.7,69.8,1,100.0,Q4_High
3.3,5,8.5,90.0,0,73.0,Q3_Medium_High
3.2,3,6.7,91.3,0,68.5,Q2_Medium_Low
3.6,1,3.3,72.6,0,61.0,Q2_Medium_Low
5.2,2,6.9,70.0,1,70.5,Q2_Medium_Low
2.1,0,6.1,77.5,0,52.5,Q1_Low
3.9,3,6.4,78.4,0,62.8,Q2_Medium_Low
5.0,3,6.1,92.5,1,83.5,Q4_High
4.3,4,7.5,78.9,0,71.4,Q3_Medium_High
3.8,1,7.8,76.4,0,61.5,Q2_Medium_Low
5.0,6,6.8,78.9,0,75.4,Q3_Medium_High
0.0,6,6.1,96.2,0,42.0,Q1_Low
4.5,4,6.5,85.1,0,64.0,Q2_Medium_Low
2.5,5,6.5,83.2,0,60.1,Q2_Medium_Low
0.8,3,5.5,83.9,0,34.7,Q1_Low
4.3,3,7.2,97.9,0,88.0,Q4_High
5.6,4,7.1,77.5,0,100.0,Q4_High
3.3,3,8.3,98.2,0,66.1,Q2_Medium_Low
4.9,5,8.0,87.1,0,95.5,Q4_High
5.9,2,5.7,83.4,1,86.4,Q4_High
5.5,0,7.5,100.0,0,77.3,Q3_Medium_High
6.0,0,5.4,74.4,1,90.2,Q4_High
4.6,0,7.3,81.5,1,80.2,Q3_Medium_High
3.6,2,5.9,72.7,1,72.9,Q3_Medium_High
1.1,3,5.3,94.5,0,35.8,Q1_Low
3.1,4,6.8,100.0,1,72.8,Q3_Medium_High
2.2,6,3.3,100.0,0,67.6,Q2_Medium_Low
6.8,1,4.4,97.2,0,93.1,Q4_High
3.2,3,6.3,83.0,1,57.5,Q1_Low
3.7,2,6.6,81.3,1,61.1,Q2_Medium_Low
4.3,5,6.1,68.3,0,77.4,Q3_Medium_High
3.6,2,4.6,100.0,0,69.6,Q2_Medium_Low
6.0,6,5.5,89.7,0,100.0,Q4_High
2.6,0,7.0,80.1,0,69.3,Q2_Medium_Low
3.8,3,7.2,98.3,0,85.7,Q4_High
2.4,6,6.5,75.3,0,53.9,Q1_Low
1.5,0,7.9,89.1,0,43.7,Q1_Low
2.6,1,7.0,83.3,0,79.3,Q3_Medium_High
3.4,5,5.6,91.4,0,71.3,Q3_Medium_High
2.9,0,6.2,84.4,1,61.4,Q2_Medium_Low
2.5,1,4.8,70.5,0,45.1,Q1_Low
1.4,2,6.4,85.8,0,39.8,Q1_Low
3.4,0,7.8,95.5,0,70.7,Q3_Medium_High
1.2,0,7.3,84.7,1,35.6,Q1_Low
4.6,4,8.2,92.8,0,93.0,Q4_High
3.6,5,6.1,74.5,1,83.2,Q4_High
1.3,5,8.1,84.7,1,46.6,Q1_Low
3.0,6,6.3,78.8,1,70.8,Q3_Medium_High
2.4,2,8.3,92.5,0,78.3,Q3_Medium_High
4.0,4,6.5,85.3,1,70.7,Q3_Medium_High
5.5,6,7.3,91.9,0,82.6,Q4_High
0.7,1,8.3,95.9,1,50.3,Q1_Low
3.7,6,6.3,91.9,0,80.9,Q3_Medium_High
3.3,1,6.8,87.7,1,75.4,Q3_Medium_High
4.5,2,8.0,75.0,1,83.7,Q4_High
3.8,5,6.3,85.0,0,76.8,Q3_Medium_High
2.4,1,4.9,79.7,0,45.8,Q1_Low
3.0,2,9.1,81.6,1,58.4,Q1_Low
2.3,6,5.9,81.3,1,70.3,Q2_Medium_Low
5.1,1,6.7,75.2,1,99.4,Q4_High
3.5,3,7.9,65.4,0,62.9,Q2_Medium_Low
6.4,0,5.8,78.3,0,98.0,Q4_High
3.4,6,5.3,86.9,0,74.7,Q3_Medium_High
2.4,5,6.8,71.5,1,50.4,Q1_Low
1.2,6,4.3,85.2,0,49.4,Q1_Low
0.8,3,6.2,100.0,1,35.3,Q1_Low
1.1,2,6.8,95.2,1,46.3,Q1_Low
3.9,2,6.2,100.0,0,68.4,Q2_Medium_Low
4.3,6,4.6,88.9,0,84.2,Q4_High
1.1,3,8.4,96.7,1,54.6,Q1_Low
4.8,6,6.6,77.8,0,88.0,Q4_High
2.8,0,8.2,78.6,0,61.5,Q2_Medium_Low
3.7,0,6.2,57.6,0,75.7,Q3_Medium_High
5.9,4,5.4,96.9,0,100.0,Q4_High
4.8,1,6.8,100.0,0,82.6,Q4_High
3.1,4,6.2,79.5,0,71.5,Q3_Medium_High
2.2,0,5.1,82.5,0,57.6,Q1_Low
0.3,3,8.3,77.5,0,36.1,Q1_Low
2.4,1,5.8,88.8,1,67.4,Q2_Medium_Low
3.2,3,4.3,96.2,0,74.8,Q3_Medium_High
2.0,4,8.1,67.6,1,73.6,Q3_Medium_High
3.3,2,5.9,89.1,1,79.5,Q3_Medium_High
3.6,3,5.8,82.2,0,62.5,Q2_Medium_Low
3.2,4,4.4,86.1,1,76.3,Q3_Medium_High
2.5,4,8.6,89.6,0,75.6,Q3_Medium_High
3.8,4,5.0,83.1,0,64.4,Q2_Medium_Low
4.2,2,6.6,84.0,0,75.3,Q3_Medium_High
1.9,2,7.6,82.9,1,50.4,Q1_Low
5.6,6,7.0,94.7,1,100.0,Q4_High
3.4,2,6.4,89.2,0,76.4,Q3_Medium_High
3.5,1,4.5,87.2,0,69.9,Q2_Medium_Low
4.6,2,5.5,72.3,1,88.9,Q4_High
3.8,2,6.7,81.2,1,70.4,Q2_Medium_Low
4.9,2,5.6,94.0,0,69.4,Q2_Medium_Low
3.9,3,6.7,85.4,1,84.9,Q4_High
2.6,2,7.3,91.6,0,63.6,Q2_Medium_Low
4.0,1,7.7,100.0,0,82.2,Q4_High
1.8,4,5.0,95.4,0,37.4,Q1_Low
3.7,3,9.1,85.9,0,73.8,Q3_Medium_High
3.5,0,7.4,79.9,1,53.4,Q1_Low
3.2,2,6.5,59.5,0,64.2,Q2_Medium_Low
3.3,6,7.8,83.3,0,70.4,Q2_Medium_Low
0.7,6,9.3,81.7,0,51.5,Q1_Low
2.7,4,4.8,88.9,0,53.4,Q1_Low
3.6,4,6.2,83.5,0,77.2,Q3_Medium_High
3.7,3,3.6,81.8,1,59.8,Q2_Medium_Low
2.0,6,6.7,67.2,0,55.4,Q1_Low
5.4,0,6.9,75.6,0,69.9,Q2_Medium_Low
2.2,5,6.5,89.8,0,71.6,Q3_Medium_High
5.0,6,5.7,100.0,0,92.9,Q4_High
4.1,6,4.0,84.0,0,72.4,Q3_Medium_High
2.5,1,6.9,88.3,0,70.5,Q2_Medium_Low
6.2,5,8.2,94.5,0,100.0,Q4_High
1.7,4,5.8,76.9,1,37.4,Q1_Low
4.9,5,7.0,88.7,0,88.7,Q4_High
5.0,6,4.6,77.6,0,88.6,Q4_High
2.5,4,7.0,93.6,0,68.5,Q2_Medium_Low
5.6,5,6.0,86.5,0,100.0,Q4_High
3.1,4,5.6,88.0,0,66.9,Q2_Medium_Low
3.9,4,5.6,77.2,0,71.5,Q3_Medium_High
3.9,3,6.0,92.1,0,77.8,Q3_Medium_High
3.3,0,7.0,100.0,1,67.7,Q2_Medium_Low
4.7,4,4.9,74.9,1,96.4,Q4_High
4.7,1,6.0,81.6,0,83.1,Q4_High
0.9,6,6.5,87.3,0,37.9,Q1_Low
5.5,6,5.2,92.9,1,76.3,Q3_Medium_High
1.0,1,8.7,79.4,1,52.6,Q1_Low
5.0,2,5.5,56.7,0,83.6,Q4_High
5.2,4,5.7,98.6,0,92.0,Q4_High
1.9,4,5.3,92.6,0,53.2,Q1_Low
2.9,4,8.7,67.6,1,56.4,Q1_Low
1.8,5,7.2,78.9,0,58.1,Q1_Low
3.2,4,5.4,100.0,0,70.9,Q3_Medium_High
3.0,4,7.8,99.5,0,98.7,Q4_High
4.7,1,6.7,94.4,0,83.3,Q4_High
5.5,0,6.8,83.2,1,80.6,Q3_Medium_High
5.6,0,6.1,85.8,0,91.3,Q4_High
2.7,2,5.6,83.7,1,63.5,Q2_Medium_Low
3.2,1,6.9,96.3,1,66.3,Q2_Medium_Low
1.0,4,5.8,76.2,0,49.9,Q1_Low
2.3,0,8.7,76.9,0,68.9,Q2_Medium_Low
4.9,3,5.0,95.1,0,94.2,Q4_High
5.9,3,8.3,84.6,0,100.0,Q4_High
1.6,3,6.4,98.8,0,58.6,Q2_Medium_Low
2.6,4,6.9,78.3,0,53.2,Q1_Low
3.5,4,7.5,84.5,1,70.5,Q2_Medium_Low
3.9,2,5.7,75.8,0,64.0,Q2_Medium_Low
2.3,6,7.5,85.1,1,77.4,Q3_Medium_High
4.1,2,3.3,70.2,0,57.4,Q1_Low
2.8,2,5.6,80.1,1,59.9,Q2_Medium_Low
3.5,5,5.4,70.6,0,66.7,Q2_Medium_Low
4.3,3,5.0,91.9,0,58.4,Q1_Low
3.5,4,6.2,92.2,0,63.6,Q2_Medium_Low
2.8,3,7.0,67.7,0,62.6,Q2_Medium_Low
3.3,2,7.3,98.3,0,70.6,Q3_Medium_High
3.4,4,6.8,100.0,0,75.2,Q3_Medium_High
2.9,1,5.7,85.5,0,50.1,Q1_Low
3.1,0,6.9,78.6,0,72.8,Q3_Medium_High
5.9,0,6.6,100.0,1,72.7,Q3_Medium_High
4.3,2,7.6,71.8,1,76.0,Q3_Medium_High
3.1,6,7.4,85.2,1,74.1,Q3_Medium_High
4.5,3,6.5,86.8,1,79.0,Q3_Medium_High
3.0,1,5.4,98.5,0,51.3,Q1_Low
5.3,4,5.7,88.6,1,71.0,Q3_Medium_High
4.1,6,5.8,80.0,1,76.4,Q3_Medium_High
3.3,3,6.1,75.5,1,52.6,Q1_Low
4.2,2,6.8,81.6,0,74.0,Q3_Medium_High
1.1,3,7.4,74.9,0,42.6,Q1_Low
1.8,2,6.4,85.5,0,49.8,Q1_Low
1.7,5,6.5,79.4,0,45.7,Q1_Low
3.7,0,6.7,70.1,1,77.2,Q3_Medium_High
6.1,6,5.9,97.6,0,98.5,Q4_High
6.8,0,5.4,80.0,0,96.2,Q4_High
4.5,3,4.4,72.3,1,71.3,Q3_Medium_High
4.3,1,5.7,83.3,0,59.2,Q2_Medium_Low
0.8,4,7.1,85.7,0,51.8,Q1_Low
2.7,2,5.7,67.5,0,59.3,Q2_Medium_Low
2.3,4,6.2,88.3,0,58.5,Q2_Medium_Low
2.6,0,7.1,74.5,1,44.5,Q1_Low
3.2,1,7.1,100.0,1,75.4,Q3_Medium_High
2.8,1,5.2,90.2,1,54.9,Q1_Low
0.5,4,7.7,81.0,1,30.2,Q1_Low
4.6,0,7.9,77.5,1,71.8,Q3_Medium_High
1.9,4,5.1,84.0,0,51.8,Q1_Low
3.9,3,5.5,91.1,1,59.5,Q2_Medium_Low
6.6,1,7.9,84.7,0,96.6,Q4_High
2.1,1,6.3,82.8,0,44.1,Q1_Low
0.0,3,3.8,85.6,0,30.5,Q1_Low
3.1,0,4.8,79.0,0,63.7,Q2_Medium_Low
5.2,1,6.2,81.6,0,74.0,Q3_Medium_High
6.4,6,5.1,64.1,0,98.8,Q4_High
1.7,5,6.0,94.7,0,53.0,Q1_Low
4.2,5,6.5,88.0,0,84.6,Q4_High
2.8,5,8.3,77.3,0,73.0,Q3_Medium_High
3.3,2,6.2,100.0,1,57.1,Q1_Low
7.5,6,7.8,85.9,0,100.0,Q4_High
1.2,2,8.2,74.6,0,36.2,Q1_Low
3.9,0,8.2,93.6,0,65.6,Q2_Medium_Low
4.2,3,6.8,89.0,1,87.5,Q4_High
5.1,4,4.1,88.9,0,100.0,Q4_High
3.6,6,7.1,80.7,0,85.6,Q4_High
4.0,0,7.8,89.5,1,89.4,Q4_High
2.9,4,6.4,82.4,0,66.9,Q2_Medium_Low
3.9,0,8.6,90.6,0,56.0,Q1_Low
3.0,2,7.5,66.0,0,77.9,Q3_Medium_High
4.4,5,7.2,80.7,0,91.3,Q4_High
2.9,3,7.8,100.0,0,68.4,Q2_Medium_Low
4.1,2,6.9,77.3,0,85.3,Q4_High
3.5,3,3.5,79.0,1,64.4,Q2_Medium_Low
5.2,6,5.9,80.5,0,82.8,Q4_High
3.4,4,7.9,72.9,0,78.0,Q3_Medium_High
0.8,0,5.5,62.9,0,31.5,Q1_Low
5.4,1,6.2,82.7,0,92.3,Q4_High
2.1,1,5.2,86.4,1,50.1,Q1_Low
2.5,3,8.6,84.5,0,49.4,Q1_Low
2.6,5,8.5,83.6,0,80.3,Q3_Medium_High
5.6,5,5.4,85.4,1,89.7,Q4_High
0.3,3,6.7,95.2,1,33.6,Q1_Low
8.2,2,5.7,83.1,1,100.0,Q4_High
5.1,1,7.2,79.3,0,90.6,Q4_High
3.8,2,7.1,82.2,1,66.3,Q2_Medium_Low
3.4,4,7.5,90.8,1,86.1,Q4_High
3.9,1,6.9,99.1,0,65.5,Q2_Medium_Low
4.3,4,10.0,78.7,0,82.9,Q4_High
4.5,0,5.3,86.0,1,76.3,Q3_Medium_High
4.3,2,4.4,88.4,1,59.0,Q2_Medium_Low
3.6,3,6.0,75.1,1,76.1,Q3_Medium_High
3.2,1,4.6,85.2,1,40.3,Q1_Low
3.3,2,4.7,70.3,1,65.2,Q2_Medium_Low
3.2,3,5.3,67.3,0,43.9,Q1_Low
5.2,0,5.4,88.7,1,89.5,Q4_High
4.4,1,5.4,81.2,0,80.7,Q3_Medium_High
0.0,4,7.1,87.0,0,53.0,Q1_Low
4.5,0,5.9,84.8,0,70.6,Q3_Medium_High
3.8,5,6.3,75.2,0,65.5,Q2_Medium_Low
3.5,3,7.6,84.5,0,75.1,Q3_Medium_High
2.9,1,5.6,72.7,0,43.5,Q1_Low
5.2,1,6.2,98.9,0,80.6,Q3_Medium_High
4.9,6,6.9,71.4,1,88.2,Q4_High
2.3,6,4.2,83.0,1,48.5,Q1_Low
4.1,0,3.6,74.6,0,67.3,Q2_Medium_Low
2.0,1,6.9,90.7,0,50.7,Q1_Low
1.4,3,7.1,81.7,0,35.4,Q1_Low
2.6,0,9.0,79.8,0,49.1,Q1_Low
4.8,4,6.7,93.5,0,85.4,Q4_High
4.9,0,7.5,85.3,0,83.9,Q4_High
4.3,0,6.3,90.2,0,90.4,Q4_High
4.6,4,6.9,75.2,0,87.8,Q4_High
4.3,5,8.5,71.0,0,87.5,Q4_High
2.5,6,4.0,86.1,0,58.2,Q1_Low
4.1,3,7.0,81.8,1,73.2,Q3_Medium_High
4.7,5,9.1,91.3,0,83.5,Q4_High
4.6,5,6.8,84.2,1,77.6,Q3_Medium_High
5.3,5,8.5,87.1,1,98.4,Q4_High
4.6,6,5.7,68.8,0,78.5,Q3_Medium_High
4.0,2,6.5,100.0,1,81.1,Q3_Medium_High
5.1,6,6.5,83.4,0,100.0,Q4_High
3.5,5,3.8,92.0,1,58.7,Q2_Medium_Low
2.2,2,5.1,76.6,0,62.6,Q2_Medium_Low
3.3,4,5.2,88.1,1,60.3,Q2_Medium_Low
2.4,6,7.5,72.0,0,63.9,Q2_Medium_Low
2.5,3,7.5,89.5,1,80.0,Q3_Medium_High
3.3,5,6.9,81.4,0,62.6,Q2_Medium_Low
2.3,1,7.5,85.3,0,71.4,Q3_Medium_High
3.0,4,6.3,92.0,0,60.6,Q2_Medium_Low
0.7,2,7.9,72.7,1,47.2,Q1_Low
3.8,6,6.5,78.2,1,78.1,Q3_Medium_High
3.5,3,6.6,89.6,1,75.5,Q3_Medium_High
2.3,0,6.2,100.0,0,73.5,Q3_Medium_High
4.5,3,7.3,83.6,0,74.6,Q3_Medium_High
4.9,3,6.0,90.9,0,98.7,Q4_High
1.1,5,7.7,83.9,1,49.2,Q1_Low
2.4,5,5.1,100.0,0,67.4,Q2_Medium_Low
2.3,6,5.2,67.5,0,72.5,Q3_Medium_High
2.1,6,7.3,85.9,1,68.4,Q2_Medium_Low
4.7,2,6.4,68.7,0,70.0,Q2_Medium_Low
3.2,6,6.0,59.9,0,56.1,Q1_Low
3.1,2,7.6,88.0,1,81.5,Q4_High
0.5,5,5.8,86.4,1,45.0,Q1_Low
4.5,5,6.3,82.2,1,84.4,Q4_High
1.6,1,8.2,83.9,0,36.8,Q1_Low
3.6,1,8.3,100.0,1,65.6,Q2_Medium_Low
3.9,4,8.4,82.4,1,93.5,Q4_High
5.5,5,6.2,90.1,0,93.7,Q4_High
1.5,0,8.0,78.5,1,42.3,Q1_Low
0.0,1,5.4,88.0,1,53.3,Q1_Low
3.8,2,5.4,82.6,0,65.9,Q2_Medium_Low
6.2,3,3.7,80.9,1,87.9,Q4_High
5.4,6,8.5,100.0,0,94.5,Q4_High
3.8,6,5.5,96.8,0,77.8,Q3_Medium_High
2.8,4,6.3,86.4,0,74.6,Q3_Medium_High
4.7,1,5.4,62.0,0,67.5,Q2_Medium_Low
2.0,3,7.3,81.4,1,66.5,Q2_Medium_Low
4.2,3,6.0,100.0,0,78.4,Q3_Medium_High
4.3,1,4.9,82.7,0,84.9,Q4_High
5.1,0,7.0,96.0,0,96.6,Q4_High
7.6,0,4.8,99.4,0,100.0,Q4_High
4.1,4,5.5,87.2,0,83.1,Q4_High
2.7,0,4.0,76.6,0,36.9,Q1_Low
3.5,4,4.8,60.6,0,60.0,Q2_Medium_Low
0.8,2,6.7,91.8,0,44.3,Q1_Low
2.5,1,4.1,76.9,0,41.6,Q1_Low
2.9,3,4.7,86.8,0,45.5,Q1_Low
2.7,4,6.5,72.5,0,68.2,Q2_Medium_Low
3.7,6,5.8,82.3,0,75.5,Q3_Medium_High
2.3,0,8.9,85.3,0,40.9,Q1_Low
5.2,6,8.7,87.7,0,100.0,Q4_High
3.5,4,5.5,73.9,1,65.6,Q2_Medium_Low
3.5,5,7.2,97.0,0,75.9,Q3_Medium_High
3.0,4,7.4,79.0,1,69.8,Q2_Medium_Low
3.7,0,5.8,68.3,0,66.6,Q2_Medium_Low
4.7,5,4.7,83.9,0,84.5,Q4_High
2.2,5,6.5,85.3,1,65.6,Q2_Medium_Low
2.5,0,6.3,86.6,0,46.8,Q1_Low
3.0,5,6.0,98.6,0,67.7,Q2_Medium_Low
1.5,1,7.0,82.6,1,45.4,Q1_Low
2.3,3,5.6,83.8,0,57.0,Q1_Low
2.8,6,5.1,74.0,0,58.4,Q1_Low
4.8,1,6.6,93.2,1,70.8,Q3_Medium_High
3.9,1,7.0,86.8,0,75.7,Q3_Medium_High
3.8,0,5.1,80.8,0,55.7,Q1_Low
4.8,0,7.6,66.0,1,82.1,Q4_High
3.3,6,4.4,99.4,1,71.4,Q3_Medium_High
4.1,3,5.8,72.7,0,66.7,Q2_Medium_Low
3.3,4,6.2,79.1,0,70.9,Q3_Medium_High
3.9,1,5.7,88.6,1,73.0,Q3_Medium_High
2.6,5,5.8,73.0,1,53.9,Q1_Low
0.0,3,8.7,70.1,0,43.4,Q1_Low
3.3,1,5.5,63.8,0,55.4,Q1_Low
5.6,4,9.4,92.2,0,100.0,Q4_High
4.9,5,7.0,79.5,0,71.8,Q3_Medium_High
4.9,1,6.6,100.0,0,89.2,Q4_High
5.4,2,7.1,75.1,0,83.9,Q4_High
3.6,6,9.5,75.8,0,89.1,Q4_High
3.8,3,5.3,79.3,0,53.5,Q1_Low
2.6,6,5.2,87.4,0,72.9,Q3_Medium_High
3.0,0,5.6,80.3,0,61.0,Q2_Medium_Low
4.4,1,6.5,91.1,0,69.1,Q2_Medium_Low
5.3,5,4.4,75.2,0,77.2,Q3_Medium_High
3.3,5,6.5,71.2,0,71.9,Q3_Medium_High
2.8,3,8.5,67.0,1,74.7,Q3_Medium_High
3.5,3,6.7,62.8,0,74.5,Q3_Medium_High
4.4,6,6.1,79.8,0,85.4,Q4_High
1.3,5,5.8,82.0,1,44.3,Q1_Low
0.1,5,7.6,78.7,0,53.4,Q1_Low
2.7,5,5.5,97.4,1,57.4,Q1_Low
1.7,1,8.7,97.3,0,53.6,Q1_Low
2.7,5,8.8,81.7,1,58.8,Q2_Medium_Low
3.3,0,6.8,67.1,0,43.5,Q1_Low
2.8,5,6.5,79.3,0,65.6,Q2_Medium_Low
5.7,0,7.7,79.0,1,89.8,Q4_High
4.0,1,7.8,78.4,0,89.5,Q4_High
4.0,3,5.5,78.0,1,68.8,Q2_Medium_Low
4.4,0,5.9,78.5,0,76.8,Q3_Medium_High
1.8,1,4.9,81.1,0,47.5,Q1_Low
5.1,5,7.0,78.6,1,89.3,Q4_High
3.4,1,7.3,87.1,0,62.0,Q2_Medium_Low
4.5,5,4.9,88.6,1,66.1,Q2_Medium_Low
1.9,6,6.0,75.9,0,41.7,Q1_Low
1.2,1,4.9,97.7,0,28.0,Q1_Low
4.7,3,5.4,75.2,0,71.0,Q3_Medium_High
4.1,0,7.2,68.8,0,67.5,Q2_Medium_Low
2.1,6,5.6,88.8,0,63.4,Q2_Medium_Low
2.2,3,6.1,76.8,0,50.2,Q1_Low
5.2,2,4.5,88.2,0,72.0,Q3_Medium_High
1.7,5,6.7,61.0,1,67.9,Q2_Medium_Low
6.0,0,6.4,98.9,0,100.0,Q4_High
2.1,3,5.6,91.7,1,55.0,Q1_Low
4.5,0,6.3,70.0,1,59.9,Q2_Medium_Low
3.0,2,6.7,70.2,0,63.2,Q2_Medium_Low
4.4,4,5.5,100.0,0,84.5,Q4_High
2.7,5,4.7,77.6,0,50.8,Q1_Low
3.3,5,8.7,76.7,0,94.0,Q4_High
3.6,1,5.7,62.3,0,65.6,Q2_Medium_Low
2.0,5,6.4,81.5,0,61.7,Q2_Medium_Low
4.6,5,7.7,82.7,1,66.0,Q2_Medium_Low
2.7,3,10.0,92.2,0,86.9,Q4_High
3.2,6,5.0,71.0,0,59.6,Q2_Medium_Low
2.0,5,7.0,69.8,0,49.1,Q1_Low
0.0,5,5.7,89.5,0,31.1,Q1_Low
3.2,2,5.9,95.1,0,45.7,Q1_Low
7.1,6,5.6,69.3,0,100.0,Q4_High
4.7,2,5.1,95.8,0,81.1,Q3_Medium_High
3.5,0,6.5,85.4,0,55.1,Q1_Low
3.1,0,4.7,95.9,0,53.3,Q1_Low
3.5,5,7.6,84.3,1,89.1,Q4_High
4.3,5,6.6,59.8,1,77.3,Q3_Medium_High
1.7,1,7.0,83.5,1,56.4,Q1_Low
5.2,0,5.9,95.6,0,76.1,Q3_Medium_High
4.6,3,6.1,76.1,0,74.6,Q3_Medium_High
4.6,5,6.8,81.1,0,83.0,Q4_High
4.2,3,5.1,83.2,1,85.9,Q4_High
3.5,5,6.1,56.0,0,64.5,Q2_Medium_Low
4.5,3,5.5,100.0,0,91.9,Q4_High
4.4,4,5.4,76.0,0,74.6,Q3_Medium_High
3.0,3,4.0,90.1,0,70.9,Q3_Medium_High
2.6,6,8.1,84.1,0,66.7,Q2_Medium_Low
